time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,serials,hour,EventID,NTSB_Number,EventTimeUTC
2018-07-29 18:22:58+00:00,aacc5b,46.20085144042969,-86.61835461128044,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11277.6,11498.580000000002,1532888577.543,1532888577.576,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:22:59+00:00,aacc5b,46.19797528800318,-86.61497497558594,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888578.954,1532888578.954,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:00+00:00,aacc5b,46.19618225097656,-86.61286144721794,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11506.2,1532888579.814,1532888579.97,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:01+00:00,aacc5b,46.19508904925847,-86.61154174804688,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888580.384,1532888580.987,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:02+00:00,aacc5b,46.19508904925847,-86.61154174804688,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888580.384,1532888581.477,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:03+00:00,aacc5b,46.19169616699219,-86.60750226276673,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888582.297,1532888582.814,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:04+00:00,aacc5b,46.189727783203125,-86.605224609375,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888583.369,1532888583.486,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:05+00:00,aacc5b,46.189727783203125,-86.605224609375,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11498.580000000002,1532888583.369,1532888584.884,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:06+00:00,aacc5b,46.189727783203125,-86.605224609375,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11498.580000000002,1532888583.369,1532888585.628,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:07+00:00,aacc5b,46.189727783203125,-86.605224609375,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11498.580000000002,1532888583.369,1532888586.196,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
