EventID,NTSB_Number,EventType,EventDate,EventDateTime,EventTime,EventTimezone,EventState,EventSiteZipCode,Latitude,Longitude,LatitudeDecimal,LongitudeDecimal
20200827X15154,ANC20LA085,ACC,2020-08-27,2020-08-27 21:53:00.000,21:53,UTC,AK,99709,644842N,1475528W,64.81167,-147.92444
20200731X11938,ANC20LA074,ACC,2020-07-31,2020-07-31 16:27:00.000,16:27,UTC,AK,99669,602944N,0015111W,60.495555,-151.01693
20200730X91205,WPR20LA246,ACC,2020-07-30,2020-07-30 19:56:00.000,19:56,UTC,NV,89008,372142N,1143359W,37.361667,-114.56639
20200705X32345,WPR20FA206,ACC,2020-07-05,2020-07-05 21:22:00.000,21:22,UTC,ID,83833,047319N,1164935W,47.519165,-116.82638
20200219X20320,WPR20WA091,ACC,2020-02-19,2020-02-19 11:28:00.000,11:28,NULL,NULL,NULL,365657S,1451221E,-36.949165,145.205825
20200216X63101,DCA20IA081,INC,2020-02-06,2020-02-06 20:00:00.000,20:00,UTC,CA,92277,034754N,1155645W,34.131668,-115.945831
20191113X45317,ERA20LA034,ACC,2019-11-13,2019-11-13 18:30:00.000,18:30,UTC,NJ,8731,395515N,0741746W,39.920833,-74.296112
20190724X81016,CEN19IA234,INC,2019-07-21,2019-07-21 15:00:00.000,15:00,UTC,WI,53704,043823N,0892026W,43.13972,-89.340553
20190529X41550,ERA19FA183,ACC,2019-05-29,2019-05-29 14:45:00.000,14:45,UTC,FL,32043,295728N,0814338W,29.957777,-81.727218
20190515X74858,WPR19FA145,ACC,2019-05-15,2019-05-15 18:51:00.000,18:51,UTC,CA,95668,038537N,1212526W,38.885276,-121.42388
20190514X70427,CEN19MA141,ACC,2019-05-13,2019-05-13 20:21:00.000,20:21,UTC,AK,99901,552532N,1313018W,55.425556,-131.505
20190130X94528,CEN19LA074,ACC,2019-01-29,2019-01-29 19:29:00.000,19:29,UTC,TX,75052,032385N,0965813W,32.634723,-96.970275
20190520X01452,ERA19WA174,ACC,2019-01-25,2019-01-25 13:30:00.000,13:30,UTC,NULL,NULL,453927N,0065846E,45.657501,6.979444
20180918X22051,WPR18LA267,ACC,2018-09-14,2018-09-14 17:04:00.000,17:04,UTC,NV,89508,394250N,1195159W,39.71389,-119.866386
20180810X01803,DCA18IA264,INC,2018-08-10,2018-08-10 12:40:00.000,12:40,UTC,ID,83422,434434N,0111548W,43.742778,-111.096664
20180730X13125,CEN18LA298,ACC,2018-07-29,2018-07-29 18:35:00.000,18:35,UTC,MI,49782,452856N,0854651W,45.482223,-85.78083
20180801X03545,CEN18WA305,ACC,2018-07-22,2018-07-22 15:00:00.000,15:00,UTC,NULL,NULL,029552N,1072848W,29.097778,-107.480003
20180717X43051,ERA18FA194,ACC,2018-07-17,2018-07-17 16:59:00.000,16:59,UTC,FL,33194,254528N,0803325W,25.757778,-80.556945
20180614X22730,ANC18FA045,ACC,2018-06-13,2018-06-13 20:05:00.000,20:05,UTC,AK,99501,611615N,0150338W,61.270832,-150.552215
20180521X82306,WPR18LA144,ACC,2018-05-21,2018-05-21 17:30:00.000,17:30,UTC,AL,35504,335219N,0871535W,33.871944,-87.259719
20180316X23843,ERA18LA109,ACC,2018-03-16,2018-03-16 14:38:00.000,14:38,UTC,FL,32177,293930N,0081411W,29.658332,-81.683609
20180130X64322,CEN18LA087,ACC,2018-01-26,2018-01-26 18:40:00.000,18:40,UTC,CO,80538,402624N,0105026W,40.439998,-105.007225
20171216X54947,ERA18LA055,ACC,2017-12-16,2017-12-16 17:30:00.000,17:30,UTC,NC,27215,036259N,0792823W,36.04972,-79.473052
20171007X71220,WPR18LA003,ACC,2017-10-07,2017-10-07 17:30:00.000,17:30,UTC,AZ,85735,032832N,1111028W,32.142223,-111.174446
20170923X01730,ERA17LA332,ACC,2017-09-23,2017-09-23 21:02:00.000,21:02,UTC,FL,33755,275838N,0824533W,27.977222,-82.759162
20170922X54600,DCA17IA202,INC,2017-09-21,2017-09-21 23:20:00.000,23:20,UTC,NY,10305,040300N,0007400W,40.5,-74
20170919X21640,WPR17LA209,ACC,2017-09-17,2017-09-17 15:20:00.000,15:20,UTC,NV,89506,039395N,1195131W,39.65139,-119.858612
20170401X94926,ERA17FA143,ACC,2017-04-01,2017-04-01 12:46:00.000,12:46,UTC,FL,32132,285734N,0805726W,28.959444,-80.957221
20170323X64259,CEN17WA137,ACC,2017-03-17,2017-03-17 16:38:00.000,16:38,UTC,NULL,NULL,453020N,0732241E,45.505554,73.378051
20161231X24638,CEN17FA063,ACC,2016-12-31,2016-12-31 23:25:00.000,23:25,UTC,TX,75071,331224N,0964358W,33.206665,-96.73278
20161021X72937,ERA17FA027,ACC,2016-10-21,2016-10-21 18:30:00.000,18:30,UTC,GA,31516,031189N,0821648W,31.302499,-82.279998
20160926X05138,ERA16FA324,ACC,2016-09-25,2016-09-25 13:23:00.000,13:23,UTC,NY,14111,423556N,0785330W,42.598888,-78.89167
20160907X21532,ERA16FA312,ACC,2016-09-07,2016-09-07 14:48:00.000,14:48,UTC,GA,30117,333724N,0085857W,33.623332,-85.149169
20160831X62719,ANC16FA061,ACC,2016-08-31,2016-08-31 18:01:00.000,18:01,UTC,AK,99657,614753N,1612956W,61.798053,-161.498886
20160805X34814,ANC16FA052,ACC,2016-08-05,2016-08-05 21:40:00.000,21:40,UTC,AK,99654,613411N,1493246W,61.569721,-149.546112
20160723X20253,WPR16FA148,ACC,2016-07-23,2016-07-23 14:45:00.000,14:45,UTC,CA,95698,384810N,0121463W,38.802776,-121.767501
20160718X62313,WPR16LA146,ACC,2016-07-17,2016-07-17 15:30:00.000,15:30,UTC,ID,83617,435025N,0116305W,43.840278,-116.501388
20160506X90816,DCA16WA143,ACC,2016-04-27,2016-04-27 10:41:00.000,10:41,UTC,NULL,NULL,255138S,0285926E,-25.860555,28.990554
20160205X35852,WPR16FA065,ACC,2016-02-05,2016-02-05 23:00:00.000,23:00,UTC,CA,90733,033477N,1182525W,33.785278,-118.423614
20151023X90108,WPR16LA016,ACC,2015-10-23,2015-10-23 17:15:00.000,17:15,UTC,NV,89019,353514N,1152749W,35.587223,-115.463607
20150928X20026,CEN15WA429,ACC,2015-09-26,2015-09-26 11:38:00.000,11:38,UTC,NULL,NULL,532137N,0008318E,53.360279,8.518888
20150921X31350,DCA15WA188,ACC,2015-09-05,2015-09-05 19:08:00.000,19:08,UTC,NULL,NULL,046256N,0134010W,46.418334,-13.669444
20150816X60452,WPR15MA243,ACC,2015-08-16,2015-08-16 18:03:00.000,18:03,UTC,CA,92154,323439N,1165656W,32.577499,-116.94889
20150707X22207,ERA15MA259,ACC,2015-07-07,2015-07-07 15:00:00.000,15:00,UTC,SC,29461,033939N,0795928W,33.160831,-79.991111
